listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name,Simplified_Genres
d4vd,42,exact_text,1.0,d8e07579-ff5a-41f2-b7a7-c71880b8287a,d4vd,d4vd,"R&B, Rock"
Peso Pluma,42,exact_text,1.0,75e4f8ef-34c3-44fd-8467-88a7d9599f77,Peso Pluma,Peso Pluma,"Country, Hip-Hop"
Little Richard,41,exact_text,1.0,95c2339b-8277-49a6-9aaf-08d8eeeaa0be,Little Richard,Little Richard,"R&B, Rock"
The Troggs,41,exact_text,1.0,4aec87a5-f33e-4bd6-89f2-0c96188c8372,The Troggs,The Troggs,Rock
Honeymoon Suite,41,exact_text,1.0,03e39569-c546-4512-8c6d-f8a8283ec3d1,Honeymoon Suite,Honeymoon Suite,Rock
General Public,41,exact_text,1.0,aaf54938-7e35-4c7d-8e06-a5094c38cb78,General Public,General Public,Rock
Lisa Lisa And Cult Jam With Full Force,41,exact_text,1.0,1cfbf626-0af5-487c-bf2e-9899602835a3,Lisa Lisa & Cult Jam with Full Force,Lisa Lisa & Cult Jam with Full Force,"Pop, R&B"
Candlebox,41,exact_text,1.0,8e9516ba-f417-47dd-a8a5-8998b94553f8,Candlebox,Candlebox,Rock
Gina G,41,exact_text,1.0,03424c93-e5f9-438a-ab9f-2e71440e2b26,Gina G,Gina G,"Electronic, Pop"
Dave Hollister,41,exact_text,1.0,2b0d81ce-1d0e-4097-91b3-c1f0cb045a2c,Dave Hollister,Dave Hollister,R&B
P.O.D.,41,exact_text,1.0,57e79d57-b795-475e-9fa2-5dd9d5513b8c,P.O.D.,P.O.D.,Rock
Daniel Bedingfield,41,exact_text,1.0,9169bdc6-5725-45ec-bba5-e9df75dbe8cc,Daniel Bedingfield,Daniel Bedingfield,"Pop, R&B, Rock"
Ingrid Michaelson,41,exact_text,1.0,1fc494a1-9109-4081-a455-2d05bea9d2bf,Ingrid Michaelson,Ingrid Michaelson,"Country, Jazz, Pop"
French Montana Featuring Swae Lee,41,exact_text,1.0,45dc5f07-6609-4760-a933-8c9e0f858d05,French Montana,French Montana,Hip-Hop
Lauv,41,exact_text,1.0,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11,Lauv,Lauv,"Electronic, Pop, R&B"
Doechii,41,exact_text,1.0,9f75277c-b283-4846-ac8c-f932255cd0ac,Doechii,Doechii,"Hip-Hop, Pop, R&B"
Bo Diddley,40,exact_text,1.0,bf659d74-0b61-488c-8a7d-594f43bed9e0,Bo Diddley,Bo Diddley,"Jazz, Rock"
The Beau Brummels,40,exact_text,1.0,f6f3a309-9d14-4b7c-895a-166333c25f9c,The Beau Brummels,The Beau Brummels,Country
Merry Clayton,40,exact_text,1.0,f086b523-e6eb-4159-8705-e408cae53170,Merry Clayton,Merry Clayton,R&B
Stealers Wheel,40,exact_text,1.0,63200203-e2c6-4081-8e0d-00c9732c6b6f,Stealers Wheel,Stealers Wheel,"Country, Pop"
Carl Carlton,40,exact_text,1.0,48b66d59-647d-42a9-b7a5-55abd5fca7ae,Carl Carlton,Carl Carlton,"Pop, R&B"
Phoebe Snow,40,exact_text,1.0,d3986756-f1dd-4635-9510-2d116c0deddd,Phoebe Snow,Phoebe Snow,"Country, Jazz, R&B, Rock"
Mike Post,40,exact_text,1.0,8a667f87-540c-4635-87bb-a9151693935f,Mike Post,Mike Post,"Pop, R&B, Rock"
Rhythm Heritage,40,exact_text,1.0,349a96b3-6c55-4961-8517-984ae9e1d6d5,Rhythm Heritage,Rhythm Heritage,R&B
Marty Balin,40,exact_text,1.0,dd0fffb5-de0e-4a4a-a279-e4c52a76f516,Marty Balin,Marty Balin,"Country, Pop, Rock"
Lindsey Buckingham,40,exact_text,1.0,5d12875c-a197-43b2-8f29-41dc0ad895c3,Lindsey Buckingham,Lindsey Buckingham,Rock
Dennis DeYoung,40,exact_text,1.0,9da87628-95a0-4820-93c7-7b1609d9bce7,Dennis DeYoung,Dennis DeYoung,"Pop, Rock"
Los Lobos,40,exact_text,1.0,2b9967c7-3246-4658-a561-ded5408dd9af,Los Lobos,Los Lobos,"Country, Rock"
El DeBarge,40,exact_text,1.0,68eabc1f-f304-46cb-8015-6f9cb7af33c6,El DeBarge,El DeBarge,"Hip-Hop, Jazz, Pop, R&B"
Sir Mix-A-Lot,40,fuzzy,0.9167,05539fb8-b7a5-4012-97a9-5e27ddc031fb,Sir Mix‐A‐Lot,Sir Mix‐A‐Lot,"Electronic, Hip-Hop"
Counting Crows,40,exact_text,1.0,a0327dc2-dc76-44d5-aec6-47cd2dff1469,Counting Crows,Counting Crows,"Pop, Rock"
Mystikal,40,exact_text,1.0,1cfe52d7-181a-4b3a-8041-d8bf9ccef57b,Mystikal,Mystikal,Hip-Hop
Missy Elliott,40,exact_text,1.0,a0b8cb9e-7532-45fe-a74c-30e7c4009a39,Missy Elliott,Missy Elliott,"Hip-Hop, R&B"
Velvet Revolver,40,exact_text,1.0,3a528006-1429-47f4-ae9b-2ea95343e16a,Velvet Revolver,Velvet Revolver,Rock
Lupe Fiasco,40,exact_text,1.0,cf15719f-51f9-4db8-a15d-5eed9664ce69,Lupe Fiasco,Lupe Fiasco,Hip-Hop
Gorilla Zoe,40,exact_text,1.0,e7840b1b-0fc5-42a7-b05a-ffca943308ad,Gorilla Zoe,Gorilla Zoe,Hip-Hop
David Guetta Featuring Akon,40,exact_text,1.0,302bd7b9-d012-4360-897a-93b00c855680,David Guetta,David Guetta,"Electronic, Pop"
Johnny Cash And The Tennessee Two,39,exact_text,1.0,5292cbd7-0f5f-461a-adbd-56ba44b98269,Johnny Cash & The Tennessee Two,Johnny Cash & The Tennessee Two,"Country, Jazz, R&B, Rock"
Duane Eddy,39,exact_text,1.0,efc0ee36-ad69-45af-8602-991b254b7529,Duane Eddy,Duane Eddy,"Country, Rock"
Jimmy Cliff,39,exact_text,1.0,2caa54a7-b08c-41da-b892-3a41abe778be,Jimmy Cliff,Jimmy Cliff,"Country, R&B"
Bertie Higgins,39,exact_text,1.0,438ec4fc-57f7-401a-a188-2ffecd020728,Bertie Higgins,Bertie Higgins,"Country, Pop"
Too $hort,39,exact_text,1.0,8e0fe7bd-bd17-4d25-9b68-1e6a60705477,Too $hort,Too $hort,Hip-Hop
Londonbeat,39,exact_text,1.0,930c86d4-1ed0-4ec0-bcf1-fea7fb7e091a,Londonbeat,Londonbeat,"Electronic, Pop"
Wreckx-N-Effect,39,fuzzy,0.9286,e6428c20-7d0d-489b-851e-d8ef6eb4a620,Wreckx‐n‐Effect,Wreckx‐n‐Effect,Hip-Hop
Livin' Joy,39,exact_text,1.0,3016b5eb-866d-4051-a7fb-d9175853049b,Livin’ Joy,Livin’ Joy,"Electronic, Pop"
Samantha Mumba,39,exact_text,1.0,7d137f81-27a6-4c65-bf78-186116368860,Samantha Mumba,Samantha Mumba,"Pop, R&B"
Korn,39,exact_text,1.0,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,Korn,Korn,Rock
Iggy Azalea Featuring Charli xcx,39,exact_text,1.0,3a052c99-8c18-484a-8beb-9873b4fb3106,Iggy Azalea,Iggy Azalea,Hip-Hop
Saweetie,39,exact_text,1.0,72d424d0-c349-4164-ae3e-8e5274f97b98,Saweetie,Saweetie,Hip-Hop
Jimin,39,exact_text,1.0,d2582c77-6b0f-4b2f-802f-8f3cad1a5fec,Jimin,Jimin,"Pop, R&B"
Marianne Faithfull,38,exact_text,1.0,14ed9dea-1bb0-4743-ba32-39674a71da89,Marianne Faithfull,Marianne Faithfull,"Country, Jazz, Rock"
Classics IV Featuring Dennis Yost,38,exact_text,1.0,b78f2e0f-1c86-45f8-a93a-c3cd87d16d72,Classics IV,Classics IV,"Pop, R&B"
Dr. John,38,exact_text,1.0,fe0e1895-aa84-47d9-8e5b-7930fc20709b,Dr. John,Dr. John,"Jazz, R&B, Rock"
Maria Muldaur,38,exact_text,1.0,3aeb9e89-4fc3-46f4-a5a8-cf6c1b7e66a0,Maria Muldaur,Maria Muldaur,"Country, Jazz"
Lita Ford,38,exact_text,1.0,f20ba447-269a-445a-9347-c1ec8632c455,Lita Ford,Lita Ford,Rock
Kelly Rowland,38,exact_text,1.0,31bea673-d23a-4889-8da1-7cb040863268,Kelly Rowland,Kelly Rowland,"Hip-Hop, Pop, R&B"
