listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name
Adina Howard,47,exact_text,1.0,5c8d5115-163b-4725-9dd7-ab7ed7debbbd,Adina Howard,Adina Howard
Voices Of Theory,47,exact_text,1.0,bd3cb1fe-4e68-4e71-a6a9-246f20a7b801,Voices of Theory,Voices of Theory
Fatboy Slim,47,exact_text,1.0,34c63966-445c-4613-afe1-4f0e1e53ae9a,Fatboy Slim,Fatboy Slim
Ja Rule Featuring Ashanti,47,exact_text,1.0,b504f625-4ef6-4a5a-81e8-870a61e8dc9c,Ja Rule,Ja Rule
Terror Squad,47,exact_text,1.0,995d7339-ff57-498e-9c8e-faf955eba696,Terror Squad,Terror Squad
James Blunt,47,exact_text,1.0,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,James Blunt,James Blunt
Timbaland Featuring OneRepublic,47,exact_text,1.0,daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland,Timbaland
3OH!3,47,exact_text,1.0,125948ec-7f91-4d1a-8b83-accbf50fae3d,3OH!3,3OH!3
Taio Cruz,47,exact_text,1.0,ba7d2626-38ce-4859-8495-bdb5732715c4,Taio Cruz,Taio Cruz
Rich Homie Quan,47,exact_text,1.0,d9547d08-4c2e-47fc-9451-b8e3f889716e,Rich Homie Quan,Rich Homie Quan
Steve Lacy,47,exact_text,1.0,ca9766a0-1c30-43e6-a213-bac1334efc4a,Steve Lacy,Steve Lacy
Tommy Richman,47,exact_text,1.0,741a6c80-2d6e-4522-9de4-e070798a2d30,Tommy Richman,Tommy Richman
Jimmy Smith,46,exact_text,1.0,4f8a0d9b-5777-40da-b29a-e9753d5ae693,Jimmy Smith,Jimmy Smith
Nino Tempo & April Stevens,46,exact_text,1.0,e47f0478-9335-418a-8cbc-3bb9ffa74563,Nino Tempo & April Stevens,Nino Tempo & April Stevens
Ed Ames,46,exact_text,1.0,6a55061b-9742-4059-94b1-a5ea1bd42dce,Ed Ames,Ed Ames
The Royal Guardsmen,46,exact_text,1.0,cfda1625-4de4-4a46-adab-c80b43828f27,The Royal Guardsmen,The Royal Guardsmen
The Flaming Ember,46,exact_normalized,1.0,15551998-0266-4e78-9fdb-e6307ff001ad,Flaming Ember,Flaming Ember
Five Man Electrical Band,46,exact_text,1.0,76c515cd-6817-456f-b813-d98d19f7d865,Five Man Electrical Band,Five Man Electrical Band
Edgar Winter Group,46,exact_normalized,1.0,d1c7bef2-12cb-4fe8-b9bc-3b58e3ac0c5c,The Edgar Winter Group,The Edgar Winter Group
The Hues Corporation,46,exact_text,1.0,25bb0299-9c72-4d7e-877d-94ba70822f45,The Hues Corporation,The Hues Corporation
Crown Heights Affair,46,exact_text,1.0,a5755348-3a50-4c27-a577-6d09fd5b95c9,Crown Heights Affair,Crown Heights Affair
Art Garfunkel,46,exact_text,1.0,fc0a5289-4b77-4246-9c8d-857c8b617f5d,Art Garfunkel,Art Garfunkel
Burton Cummings,46,exact_text,1.0,404c5c4c-7d08-44e4-9721-68a824edc144,Burton Cummings,Burton Cummings
Eddy Grant,46,exact_text,1.0,0cf0583a-fcfd-4f07-b573-95273ec4bdb5,Eddy Grant,Eddy Grant
Real Life,46,exact_text,1.0,dd90dbb1-296a-4675-84ae-4e1c613ca69d,Real Life,Real Life
Frankie Goes To Hollywood,46,exact_text,1.0,c09c8263-40ef-4352-8031-e438b1ce68fc,Frankie Goes to Hollywood,Frankie Goes to Hollywood
Ozzy Osbourne,46,exact_text,1.0,8aa5b65a-5b3c-4029-92bf-47a544356934,Ozzy Osbourne,Ozzy Osbourne
